Name,Wiki page,ID,Birth Year,Century,Noteworthiness
Eleanor of Castile,/wiki/Eleanor_of_Castile,Q59604,1241,13,1284
Edward I of England,/wiki/Edward_I_of_England,Q57798,1239,13,2517
Philippa of Hainault,/wiki/Philippa_of_Hainault,Q229279,1314,14,708
Edward III of England,/wiki/Edward_III_of_England,Q129247,1312,14,2265
Anne of Bohemia,/wiki/Anne_of_Bohemia,Q170202,1366,14,572
Richard II of England,/wiki/Richard_II_of_England,Q81000,1367,14,1397
Henry V of England,/wiki/Henry_V_of_England,Q131581,1386,14,1432
Catherine of Valois,/wiki/Catherine_of_Valois,Q229192,1401,15,614
Edward V of England,/wiki/Edward_V_of_England,Q170470,1470,15,870
"Richard of Shrewsbury, Duke of York","/wiki/Richard_of_Shrewsbury,_Duke_of_York",Q221367,1473,15,397
Edward IV of England,/wiki/Edward_IV_of_England,Q160341,1442,15,1189
Elizabeth Woodville,/wiki/Elizabeth_Woodville,Q229214,1437,15,900
Anne Neville,/wiki/Anne_Neville,Q229218,1456,15,793
"Edward of Westminster, Prince of Wales","/wiki/Edward_of_Westminster,_Prince_of_Wales",Q313262,1453,15,551
Richard III of England,/wiki/Richard_III_of_England,Q133028,1452,15,2756
Elizabeth of York,/wiki/Elizabeth_of_York,Q207953,1466,15,807
Henry VII of England,/wiki/Henry_VII_of_England,Q675493,1457,15,1367
Edward VI,/wiki/Edward_VI,Q83229,1537,16,1896
Anne of Cleves,/wiki/Anne_of_Cleves,Q57126,1515,16,843
Henry VIII,/wiki/Henry_VIII,Q38370,1491,15,2488
Mary I of England,/wiki/Mary_I_of_England,Q82674,1516,16,1579
"Mary, Queen of Scots","/wiki/Mary,_Queen_of_Scots",Q131412,1542,16,2200
James VI and I,/wiki/James_VI_and_I,Q79972,1566,16,2537
Elizabeth I,/wiki/Elizabeth_I,Q7207,1533,16,2051
Anne of Denmark,/wiki/Anne_of_Denmark,Q158248,1574,16,1380
Charles II of England,/wiki/Charles_II_of_England,Q122553,1630,17,1873
Mary II of England,/wiki/Mary_II_of_England,Q130812,1662,17,1004
William III of England,/wiki/William_III_of_England,Q129987,1650,17,1774
Prince George of Denmark,/wiki/Prince_George_of_Denmark,Q317499,1653,17,971
"Anne, Queen of Great Britain","/wiki/Anne,_Queen_of_Great_Britain",Q119702,1665,17,1808
Caroline of Ansbach,/wiki/Caroline_of_Ansbach,Q76961,1683,17,962
George II of Great Britain,/wiki/George_II_of_Great_Britain,Q131981,1683,17,1495
Edmund Crouchback,/wiki/Edmund_Crouchback,Q447802,1245,13,1746
Henry III of England,/wiki/Henry_III_of_England,Q160311,1207,13,2601
Eleanor of Provence,/wiki/Eleanor_of_Provence,Q228885,1223,13,600
Katherine of England,/wiki/Katherine_of_England,Q4214826,1253,13,292
Henry (son of Edward I),/wiki/Henry_(son_of_Edward_I),Q361793,1267,13,165
"Alphonso, Earl of Chester","/wiki/Alphonso,_Earl_of_Chester",Q1475199,1273,13,179
"Eleanor of England, Countess of Bar","/wiki/Eleanor_of_England,_Countess_of_Bar",Q292321,1269,13,188
"John of Eltham, Earl of Cornwall","/wiki/John_of_Eltham,_Earl_of_Cornwall",Q561807,1316,14,328
Edward II of England,/wiki/Edward_II_of_England,Q5236,1284,13,2658
Isabella of France,/wiki/Isabella_of_France,Q228642,1295,13,1314
"Thomas of Woodstock, Duke of Gloucester","/wiki/Thomas_of_Woodstock,_Duke_of_Gloucester",Q432771,1355,14,573
Eleanor de Bohun,/wiki/Eleanor_de_Bohun,Q2548323,1366,14,203
"Edmund Tudor, Duke of Somerset","/wiki/Edmund_Tudor,_Duke_of_Somerset",Q718991,1499,15,191
Lady Margaret Beaufort,/wiki/Lady_Margaret_Beaufort,Q229202,1443,15,985
"Henry, Duke of Cornwall","/wiki/Henry,_Duke_of_Cornwall",Q928719,1511,16,232
Catherine of Aragon,/wiki/Catherine_of_Aragon,Q162819,1485,15,1400
"Charles Stuart, 1st Earl of Lennox","/wiki/Charles_Stuart,_1st_Earl_of_Lennox",Q1066162,1555,16,176
Margaret Douglas,/wiki/Margaret_Douglas,Q433161,1515,16,395
Margaret Tudor,/wiki/Margaret_Tudor,Q523140,1489,15,811
"Archibald Douglas, 6th Earl of Angus","/wiki/Archibald_Douglas,_6th_Earl_of_Angus",Q633149,1489,15,379
"Henry Frederick, Prince of Wales","/wiki/Henry_Frederick,_Prince_of_Wales",Q82631,1594,16,945
Lady Arbella Stuart,/wiki/Lady_Arbella_Stuart,Q436074,1575,16,376
Charles I of England,/wiki/Charles_I_of_England#Issue,Q81506,1600,16,2879
Charles I of England,/wiki/Charles_I_of_England,Q81506,1600,16,2879
Henrietta Maria,/wiki/Henrietta_Maria,Q848615,1609,17,1251
"Mary, Princess Royal and Princess of Orange","/wiki/Mary,_Princess_Royal_and_Princess_of_Orange",Q236930,1631,17,574
"Henry Stuart, Duke of Gloucester","/wiki/Henry_Stuart,_Duke_of_Gloucester",Q2561668,1640,17,792
James II of England,/wiki/James_II_of_England,Q126188,1633,17,1858
Anne Hyde,/wiki/Anne_Hyde,Q145609,1637,17,537
"Elizabeth Stuart, Queen of Bohemia","/wiki/Elizabeth_Stuart,_Queen_of_Bohemia",Q158252,1596,16,884
George I of Great Britain,/wiki/George_I_of_Great_Britain,Q130805,1660,17,1256
"James Stuart, Duke of Cambridge","/wiki/James_Stuart,_Duke_of_Cambridge",Q2269986,1663,17,459
"Charles Stuart, Duke of Kendal","/wiki/Charles_Stuart,_Duke_of_Kendal",Q6856845,1666,17,120
"Edgar Stuart, Duke of Cambridge","/wiki/Edgar_Stuart,_Duke_of_Cambridge",Q5337475,1667,17,192
Prince Rupert of the Rhine,/wiki/Prince_Rupert_of_the_Rhine,Q76930,1619,17,1241
Frederick V of the Palatinate,/wiki/Frederick_V_of_the_Palatinate,Q57195,1596,16,824
"Prince William, Duke of Gloucester","/wiki/Prince_William,_Duke_of_Gloucester",Q744541,1689,17,662
"Anne, Queen of Great Britain","/wiki/Anne,_Queen_of_Great_Britain#Pregnancies_and_issue",Q119702,1665,17,1808
Prince George William of Great Britain,/wiki/Prince_George_William_of_Great_Britain,Q2357260,1717,18,255
"Frederick, Prince of Wales","/wiki/Frederick,_Prince_of_Wales",Q165349,1707,18,1046
George III,/wiki/George_III,Q127318,1738,18,1947
Princess Caroline of Great Britain,/wiki/Princess_Caroline_of_Great_Britain,Q2013887,1713,18,361
Princess Elizabeth of Great Britain,/wiki/Princess_Elizabeth_of_Great_Britain,Q2630326,1741,18,244
Princess Augusta of Saxe-Gotha,/wiki/Princess_Augusta_of_Saxe-Gotha,Q76967,1719,18,603
"Prince William, Duke of Cumberland","/wiki/Prince_William,_Duke_of_Cumberland",Q378088,1721,18,1075
Prince Frederick of Great Britain,/wiki/Prince_Frederick_of_Great_Britain,Q145654,1750,18,246
"Prince Edward, Duke of York and Albany","/wiki/Prince_Edward,_Duke_of_York_and_Albany",Q224215,1739,18,381
Princess Louisa of Great Britain,/wiki/Princess_Louisa_of_Great_Britain,Q2358562,1749,18,238
Prince Alfred of Great Britain,/wiki/Prince_Alfred_of_Great_Britain,Q2140119,1780,18,457
Charlotte of Mecklenburg-Strelitz,/wiki/Charlotte_of_Mecklenburg-Strelitz,Q161159,1744,18,1311
Prince Octavius of Great Britain,/wiki/Prince_Octavius_of_Great_Britain,Q2013921,1779,18,530
Princess Amelia of Great Britain,/wiki/Princess_Amelia_of_Great_Britain,Q62393,1711,18,410
"Prince Henry, Duke of Cumberland and Strathearn","/wiki/Prince_Henry,_Duke_of_Cumberland_and_Strathearn",Q699738,1745,18,562
"Edmund Allenby, 1st Viscount Allenby","/wiki/Edmund_Allenby,_1st_Viscount_Allenby",Q334846,1861,19,1058
Francis Atterbury,/wiki/Francis_Atterbury,Q320864,1663,17,693
Clement Attlee,/wiki/Clement_Attlee,Q129006,1883,19,3447
Charles Barry,/wiki/Charles_Barry,Q552584,1795,18,1051
Ernest Bevin,/wiki/Ernest_Bevin,Q332365,1881,19,978
"Angela Burdett-Coutts, 1st Baroness Burdett-Coutts","/wiki/Angela_Burdett-Coutts,_1st_Baroness_Burdett-Coutts",Q137680,1814,19,420
Neville Chamberlain,/wiki/Neville_Chamberlain,Q10664,1869,19,2839
"Thomas Cochrane, 10th Earl of Dundonald","/wiki/Thomas_Cochrane,_10th_Earl_of_Dundonald",Q334994,1775,18,990
Charles Cornewall,/wiki/Charles_Cornewall,Q18534781,1669,17,258
Charles Darwin,/wiki/Charles_Darwin,Q1035,1809,19,3219
Joost de Blank,/wiki/Joost_de_Blank,Q6276123,1908,20,291
"Freeman Freeman-Thomas, 1st Marquess of Willingdon","/wiki/Freeman_Freeman-Thomas,_1st_Marquess_of_Willingdon",Q603107,1866,19,809
George Graham (clockmaker),/wiki/George_Graham_(clockmaker),Q964704,1673,17,237
Stephen Hawking,/wiki/Stephen_Hawking,Q17714,1942,20,3756
John Herschel,/wiki/John_Herschel,Q14278,1792,18,1003
John Hunter (surgeon),/wiki/John_Hunter_(surgeon),Q505981,1728,18,517
Ben Jonson,/wiki/Ben_Jonson,Q193857,1572,16,1175
